county,fips,candidate,state,votes
NA,NJ,Rocky De La Fuente,NJ,1838
NA,NJ,Monica Moorehead,NJ,1749
NA,NJ,Gloria La Riva,NJ,1682
Los Angeles County,6037,Hillary Clinton,CA,2464364
Los Angeles County,6037,Donald Trump,CA,769743
Los Angeles County,6037,Gary Johnson,CA,88968
Los Angeles County,6037,Jill Stein,CA,76465
Los Angeles County,6037,Gloria La Riva,CA,21993
NA,MA,Hillary Clinton,MA,1995196
NA,MA,Donald Trump,MA,1090893
NA,MA,Gary Johnson,MA,138018
NA,MA,Jill Stein,MA,47661
NA,WA,Hillary Clinton,WA,1742718
NA,WA,Donald Trump,WA,1221747
NA,WA,Gary Johnson,WA,160879
NA,WA,Jill Stein,WA,58417
NA,WA,Darrell Castle,WA,17623
NA,WA,Alyson Kennedy,WA,4307
NA,WA,Gloria La Riva,WA,3523
NA,WI,Donald Trump,WI,1405284
NA,WI,Hillary Clinton,WI,1382536
NA,WI,Gary Johnson,WI,106674
NA,WI,Jill Stein,WI,31072
NA,WI,Darrell Castle,WI,12162
NA,WI,Monica Moorehead,WI,1770
NA,WI,Rocky De La Fuente,WI,1502
NA,MN,Hillary Clinton,MN,1367716
NA,MN,Donald Trump,MN,1322951
NA,MN,Gary Johnson,MN,112972
NA,MN,Evan McMullin,MN,53076
NA,MN,Jill Stein,MN,36985
NA,MN,Dan Vacek,MN,11291
NA,MN,Darrell Castle,MN,9456
NA,MN,Alyson Kennedy,MN,1672
NA,MN,Rocky De La Fuente,MN,1431
NA,MO,Donald Trump,MO,1594511
NA,MO,Hillary Clinton,MO,1071068
NA,MO,Gary Johnson,MO,97359
NA,MO,Jill Stein,MO,25419
NA,MO,Darrell Castle,MO,13092
NA,CO,Hillary Clinton,CO,1338870
NA,CO,Donald Trump,CO,1202484
NA,CO,Gary Johnson,CO,144121
NA,CO,Jill Stein,CO,38437
NA,CO,Evan McMullin,CO,28917
NA,CO,Darrell Castle,CO,11699
NA,CO,Chris Keniston,CO,5028
NA,CO,Mike Smith,CO,1819
NA,CO,Rocky De La Fuente,CO,1255
NA,CO,Kyle Kopitke,CO,1096
NA,CO,Joseph Maldonado,CO,872
NA,CO,Michael Maturen,CO,862
NA,CO,Rod Silva,CO,751
NA,CO,Ryan Scott,CO,749
NA,CO,Tom Hoefling,CO,710
NA,CO,Gloria La Riva,CO,531
NA,CO,Alyson Kennedy,CO,452
NA,CO,Laurence Kotlikoff,CO,392
NA,CO,Bradford Lyttle,CO,382
NA,CO,Frank Atwood,CO,337
NA,CO,Emidio Soltysik,CO,271
NA,CO,Jim Hedges,CO,185
NA,MD,Hillary Clinton,MD,1677928
NA,MD,Donald Trump,MD,943169
NA,MD,Gary Johnson,MD,79605
NA,MD,Jill Stein,MD,35945
NA,IN,Donald Trump,IN,1557286
NA,IN,Hillary Clinton,IN,1033126
NA,IN,Gary Johnson,IN,133993
NA,AZ,Donald Trump,AZ,1252401
NA,AZ,Hillary Clinton,AZ,1161167
NA,AZ,Gary Johnson,AZ,106327
NA,AZ,Jill Stein,AZ,34345
NA,TN,Donald Trump,TN,1522925
NA,TN,Hillary Clinton,TN,870695
NA,TN,Gary Johnson,TN,70397
NA,TN,Jill Stein,TN,15993
NA,TN,Mike Smith,TN,7276
NA,TN,Rocky De La Fuente,TN,4075
NA,TN,Alyson Kennedy,TN,2877
Cook County,17031,Hillary Clinton,IL,1611946
Cook County,17031,Donald Trump,IL,453287
Cook County,17031,Gary Johnson,IL,58678
Cook County,17031,Jill Stein,IL,32484
NA,SC,Donald Trump,SC,1155389
NA,SC,Hillary Clinton,SC,855373
NA,SC,Gary Johnson,SC,49204
NA,SC,Evan McMullin,SC,21016
NA,SC,Jill Stein,SC,13034
NA,SC,Darrell Castle,SC,5765
NA,SC,Peter Skewes,SC,3246
NA,AL,Donald Trump,AL,1318255
NA,AL,Hillary Clinton,AL,729547
NA,AL,Gary Johnson,AL,44467
NA,AL,Jill Stein,AL,9391
NA,LA,Donald Trump,LA,1178638
NA,LA,Hillary Clinton,LA,780154
NA,LA,Gary Johnson,LA,37978
NA,LA,Jill Stein,LA,14031
NA,LA,Evan McMullin,LA,8547
NA,LA,Darrell Castle,LA,3129
NA,LA,Chris Keniston,LA,1881
NA,LA,Tom Hoefling,LA,1581
NA,LA,Laurence Kotlikoff,LA,1048
NA,LA,Princess Jacob,LA,749
NA,LA,Alyson Kennedy,LA,480
NA,LA,Gloria La Riva,LA,446
NA,LA,Jerry White,LA,370
NA,OR,Hillary Clinton,OR,1002106
NA,OR,Donald Trump,OR,782403
NA,OR,Gary Johnson,OR,94231
NA,OR,Jill Stein,OR,50002
NA,KY,Donald Trump,KY,1202971
NA,KY,Hillary Clinton,KY,628854
NA,KY,Gary Johnson,KY,53752
NA,KY,Evan McMullin,KY,22780
NA,KY,Jill Stein,KY,13913
NA,KY,Rocky De La Fuente,KY,1128
NA,CT,Hillary Clinton,CT,897572
NA,CT,Donald Trump,CT,673215
NA,CT,Gary Johnson,CT,48676
NA,CT,Jill Stein,CT,22841
NA,IA,Donald Trump,IA,800983
NA,IA,Hillary Clinton,IA,653669
NA,IA,Gary Johnson,IA,59186
NA,IA,Evan McMullin,IA,12366
NA,IA,Jill Stein,IA,11479
NA,IA,Darrell Castle,IA,5335
NA,IA,Lynn Kahn,IA,2247
NA,IA,Dan Vacek,IA,2246
NA,IA,Rocky De La Fuente,IA,451
NA,IA,Gloria La Riva,IA,323
Maricopa County,4013,Donald Trump,AZ,747361
Maricopa County,4013,Hillary Clinton,AZ,702907
Maricopa County,4013,Gary Johnson,AZ,67043
Maricopa County,4013,Jill Stein,AZ,19432
NA,OK,Donald Trump,OK,949136
NA,OK,Hillary Clinton,OK,420375
NA,OK,Gary Johnson,OK,83481
Harris County,48201,Hillary Clinton,TX,707914
Harris County,48201,Donald Trump,TX,545955
Harris County,48201,Gary Johnson,TX,39781
Harris County,48201,Jill Stein,TX,11784
San Diego County,6073,Hillary Clinton,CA,735476
San Diego County,6073,Donald Trump,CA,477766
San Diego County,6073,Gary Johnson,CA,51663
San Diego County,6073,Jill Stein,CA,22820
San Diego County,6073,Gloria La Riva,CA,3353
NA,MS,Donald Trump,MS,700714
NA,MS,Hillary Clinton,MS,485131
NA,MS,Gary Johnson,MS,14435
NA,MS,Darrell Castle,MS,3987
NA,MS,Jill Stein,MS,3731
NA,MS,Jim Hedges,MS,715
NA,MS,Rocky De La Fuente,MS,644
Orange County,6059,Hillary Clinton,CA,609961
Orange County,6059,Donald Trump,CA,507148
Orange County,6059,Gary Johnson,CA,46128
Orange County,6059,Jill Stein,CA,18068
Orange County,6059,Gloria La Riva,CA,4898
NA,KS,Donald Trump,KS,671018
NA,KS,Hillary Clinton,KS,427005
NA,KS,Gary Johnson,KS,55406
NA,KS,Jill Stein,KS,23506
NA,UT,Donald Trump,UT,515231
NA,UT,Hillary Clinton,UT,310676
NA,UT,Evan McMullin,UT,243690
NA,UT,Gary Johnson,UT,39608
NA,UT,Jill Stein,UT,9438
NA,UT,Darrell Castle,UT,8032
NA,UT,Rocky Giordani,UT,2752
NA,UT,Rocky De La Fuente,UT,883
NA,UT,Monica Moorehead,UT,544
NA,UT,Alyson Kennedy,UT,521
NA,AR,Donald Trump,AR,684872
NA,AR,Hillary Clinton,AR,380494
NA,AR,Gary Johnson,AR,29829
NA,AR,Evan McMullin,AR,13255
NA,AR,Jill Stein,AR,9473
NA,AR,Jim Hedges,AR,4709
NA,AR,Darrell Castle,AR,4613
NA,AR,Lynn Kahn,AR,3390
NA,NV,Hillary Clinton,NV,539260
NA,NV,Donald Trump,NV,512058
NA,NV,Gary Johnson,NV,37384
NA,NV, None of these candidates,NV,28863
NA,NV,Darrell Castle,NV,5268
NA,NV,Rocky De La Fuente,NV,2552
King County,53033,Hillary Clinton,WA,718322
King County,53033,Donald Trump,WA,216339
King County,53033,Gary Johnson,WA,40861
King County,53033,Jill Stein,WA,17704
King County,53033,Darrell Castle,WA,3092
King County,53033,Alyson Kennedy,WA,1109
King County,53033,Gloria La Riva,WA,1072
Miami-Dade County,12086,Hillary Clinton,FL,624146
Miami-Dade County,12086,Donald Trump,FL,333999
Miami-Dade County,12086,Gary Johnson,FL,13219
Miami-Dade County,12086,Jill Stein,FL,5985
Miami-Dade County,12086,Rocky De La Fuente,FL,1582
Miami-Dade County,12086,Darrell Castle,FL,1273
Broward County,12011,Hillary Clinton,FL,553320
Broward County,12011,Donald Trump,FL,260951
Broward County,12011,Gary Johnson,FL,11078
Broward County,12011,Jill Stein,FL,5094
Broward County,12011,Darrell Castle,FL,907
Broward County,12011,Rocky De La Fuente,FL,600
NA,NE,Donald Trump,NE,495961
NA,NE,Hillary Clinton,NE,284494
NA,NE,Gary Johnson,NE,38946
NA,NE,Jill Stein,NE,8775
Kings County,36047,Hillary Clinton,NY,640553
Kings County,36047,Donald Trump,NY,141044
Kings County,36047,Jill Stein,NY,11932
Kings County,36047,Gary Johnson,NY,6864
NA,NM,Hillary Clinton,NM,385234
NA,NM,Donald Trump,NM,319667
NA,NM,Gary Johnson,NM,74541
NA,NM,Jill Stein,NM,9879
NA,NM,Evan McMullin,NM,5825
NA,NM,Darrell Castle,NM,1514
NA,NM,Gloria La Riva,NM,1184
NA,NM,Rocky De La Fuente,NM,475
Middlesex County,25017,Hillary Clinton,MA,520360
Middlesex County,25017,Donald Trump,MA,219793
Middlesex County,25017,Gary Johnson,MA,32441
Middlesex County,25017,Jill Stein,MA,10511
Wayne County,26163,Hillary Clinton,MI,519444
Wayne County,26163,Donald Trump,MI,228993
Wayne County,26163,Gary Johnson,MI,18801
Wayne County,26163,Jill Stein,MI,7784
Wayne County,26163,Darrell Castle,MI,1718
Wayne County,26163,Emidio Soltysik,MI,437
Clark County,32003,Hillary Clinton,NV,402227
Clark County,32003,Donald Trump,NV,320057
Clark County,32003,Gary Johnson,NV,22453
Clark County,32003, None of these candidates,NV,17486
Clark County,32003,Darrell Castle,NV,3213
Clark County,32003,Rocky De La Fuente,NV,1720
Dallas County,48113,Hillary Clinton,TX,461080
Dallas County,48113,Donald Trump,TX,262945
Dallas County,48113,Gary Johnson,TX,24025
Dallas County,48113,Jill Stein,TX,6114
Riverside County,6065,Hillary Clinton,CA,373695
Riverside County,6065,Donald Trump,CA,333243
Riverside County,6065,Gary Johnson,CA,24089
Riverside County,6065,Jill Stein,CA,11320
Riverside County,6065,Gloria La Riva,CA,3433
NA,ME,Hillary Clinton,ME,357735
NA,ME,Donald Trump,ME,335593
NA,ME,Gary Johnson,ME,38105
NA,ME,Jill Stein,ME,14251
NA,NH,Hillary Clinton,NH,348526
NA,NH,Donald Trump,NH,345790
NA,NH,Gary Johnson,NH,30777
NA,NH,Jill Stein,NH,6496
NA,NH,Rocky De La Fuente,NH,678
NA,WV,Donald Trump,WV,489371
NA,WV,Hillary Clinton,WV,188794
NA,WV,Gary Johnson,WV,23004
NA,WV,Jill Stein,WV,8075
NA,WV,Darrell Castle,WV,3807
Philadelphia County,42101,Hillary Clinton,PA,584025
Philadelphia County,42101,Donald Trump,PA,108748
Philadelphia County,42101,Gary Johnson,PA,7115
Philadelphia County,42101,Jill Stein,PA,6679
Philadelphia County,42101,Darrell Castle,PA,1064
Santa Clara County,6085,Hillary Clinton,CA,511684
Santa Clara County,6085,Donald Trump,CA,144826
Santa Clara County,6085,Gary Johnson,CA,25325
Santa Clara County,6085,Jill Stein,CA,12664
Santa Clara County,6085,Gloria La Riva,CA,2759
NA,ID,Donald Trump,ID,409055
NA,ID,Hillary Clinton,ID,189765
NA,ID,Evan McMullin,ID,46476
NA,ID,Gary Johnson,ID,28331
NA,ID,Jill Stein,ID,8496
NA,ID,Darrell Castle,ID,4403
NA,ID,Scott Copeland,ID,2356
NA,ID,Rocky De La Fuente,ID,1373
Queens County,36081,Hillary Clinton,NY,517220
Queens County,36081,Donald Trump,NY,149341
Queens County,36081,Jill Stein,NY,9230
Queens County,36081,Gary Johnson,NY,7116
Suffolk County,36103,Donald Trump,NY,350570
Suffolk County,36103,Hillary Clinton,NY,303951
Suffolk County,36103,Gary Johnson,NY,13916
Suffolk County,36103,Jill Stein,NY,8099
Hennepin County,27053,Hillary Clinton,MN,429288
Hennepin County,27053,Donald Trump,MN,191770
Hennepin County,27053,Gary Johnson,MN,24400
Hennepin County,27053,Evan McMullin,MN,12270
Hennepin County,27053,Jill Stein,MN,10310
Hennepin County,27053,Dan Vacek,MN,2391
Hennepin County,27053,Darrell Castle,MN,1501
Hennepin County,27053,Alyson Kennedy,MN,434
Hennepin County,27053,Rocky De La Fuente,MN,288
Tarrant County,48439,Donald Trump,TX,345921
Tarrant County,48439,Hillary Clinton,TX,288392
Tarrant County,48439,Gary Johnson,TX,23775
Tarrant County,48439,Jill Stein,TX,5413
Oakland County,26125,Hillary Clinton,MI,343070
Oakland County,26125,Donald Trump,MI,289203
Oakland County,26125,Gary Johnson,MI,23154
Oakland County,26125,Jill Stein,MI,6396
Oakland County,26125,Darrell Castle,MI,1400
Oakland County,26125,Emidio Soltysik,MI,212
New York County,36061,Hillary Clinton,NY,579013
New York County,36061,Donald Trump,NY,64929
New York County,36061,Jill Stein,NY,9441
New York County,36061,Gary Johnson,NY,9408
Palm Beach County,12099,Hillary Clinton,FL,374673
Palm Beach County,12099,Donald Trump,FL,272402
Palm Beach County,12099,Gary Johnson,FL,10370
Palm Beach County,12099,Jill Stein,FL,3723
Palm Beach County,12099,Darrell Castle,FL,719
Palm Beach County,12099,Rocky De La Fuente,FL,435
Allegheny County,42003,Hillary Clinton,PA,367617
Allegheny County,42003,Donald Trump,PA,259480
Allegheny County,42003,Gary Johnson,PA,16102
Allegheny County,42003,Jill Stein,PA,5097
Allegheny County,42003,Darrell Castle,PA,1818
Alameda County,6001,Hillary Clinton,CA,514842
Alameda County,6001,Donald Trump,CA,95922
Alameda County,6001,Jill Stein,CA,17830
Alameda County,6001,Gary Johnson,CA,16906
Alameda County,6001,Gloria La Riva,CA,3162
San Bernardino County,6071,Hillary Clinton,CA,340833
San Bernardino County,6071,Donald Trump,CA,271240
San Bernardino County,6071,Gary Johnson,CA,21050
San Bernardino County,6071,Jill Stein,CA,10604
San Bernardino County,6071,Gloria La Riva,CA,3786
Nassau County,36059,Hillary Clinton,NY,332154
Nassau County,36059,Donald Trump,NY,292025
Nassau County,36059,Gary Johnson,NY,11337
Nassau County,36059,Jill Stein,NY,6734
Cuyahoga County,39035,Hillary Clinton,OH,398271
Cuyahoga County,39035,Donald Trump,OH,184211
Cuyahoga County,39035,Gary Johnson,OH,12993
Cuyahoga County,39035,Jill Stein,OH,5242
Cuyahoga County,39035,Richard Duncan,OH,1878
Hillsborough County,12057,Hillary Clinton,FL,307896
Hillsborough County,12057,Donald Trump,FL,266870
Hillsborough County,12057,Gary Johnson,FL,15703
Hillsborough County,12057,Jill Stein,FL,5032
Hillsborough County,12057,Darrell Castle,FL,1323
Hillsborough County,12057,Rocky De La Fuente,FL,822
Bexar County,48029,Hillary Clinton,TX,319550
Bexar County,48029,Donald Trump,TX,240333
Bexar County,48029,Gary Johnson,TX,20091
Bexar County,48029,Jill Stein,TX,6645
Franklin County,39049,Hillary Clinton,OH,351198
Franklin County,39049,Donald Trump,OH,199331
Franklin County,39049,Gary Johnson,OH,19725
Franklin County,39049,Jill Stein,OH,6106
Franklin County,39049,Richard Duncan,OH,1866
Sacramento County,6067,Hillary Clinton,CA,326023
Sacramento County,6067,Donald Trump,CA,189789
Sacramento County,6067,Gary Johnson,CA,24412
Sacramento County,6067,Jill Stein,CA,9846
Sacramento County,6067,Gloria La Riva,CA,2556
Orange County,12095,Hillary Clinton,FL,329894
Orange County,12095,Donald Trump,FL,195216
Orange County,12095,Gary Johnson,FL,14483
Orange County,12095,Jill Stein,FL,4777
Orange County,12095,Darrell Castle,FL,1188
Orange County,12095,Rocky De La Fuente,FL,705
Fairfax County,51059,Hillary Clinton,VA,355133
Fairfax County,51059,Donald Trump,VA,157710
Fairfax County,51059,Gary Johnson,VA,15664
Fairfax County,51059,Evan McMullin,VA,10369
Fairfax County,51059,Jill Stein,VA,4477
Wake County,37183,Hillary Clinton,NC,302736
Wake County,37183,Donald Trump,NC,196082
Wake County,37183,Gary Johnson,NC,19460
St. Louis County,29189,Hillary Clinton,MO,286704
St. Louis County,29189,Donald Trump,MO,202434
St. Louis County,29189,Gary Johnson,MO,16677
St. Louis County,29189,Jill Stein,MO,5207
St. Louis County,29189,Darrell Castle,MO,2206
NA,MT,Donald Trump,MT,279240
NA,MT,Hillary Clinton,MT,177709
NA,MT,Gary Johnson,MT,28037
NA,MT,Jill Stein,MT,7970
NA,MT,Rocky De La Fuente,MT,1570
Pinellas County,12103,Donald Trump,FL,239201
Pinellas County,12103,Hillary Clinton,FL,233701
Pinellas County,12103,Gary Johnson,FL,13627
Pinellas County,12103,Jill Stein,FL,4611
Pinellas County,12103,Darrell Castle,FL,840
Pinellas County,12103,Rocky De La Fuente,FL,413
Montgomery County,24031,Hillary Clinton,MD,357837
Montgomery County,24031,Donald Trump,MD,92704
Montgomery County,24031,Gary Johnson,MD,11513
Montgomery County,24031,Jill Stein,MD,6620
Mecklenburg County,37119,Hillary Clinton,NC,294562
Mecklenburg County,37119,Donald Trump,NC,155518
Mecklenburg County,37119,Gary Johnson,NC,15488
Travis County,48453,Hillary Clinton,TX,308260
Travis County,48453,Donald Trump,TX,127209
Travis County,48453,Gary Johnson,TX,21958
Travis County,48453,Jill Stein,TX,7462
Contra Costa County,6013,Hillary Clinton,CA,319287
Contra Costa County,6013,Donald Trump,CA,115956
Contra Costa County,6013,Gary Johnson,CA,16123
Contra Costa County,6013,Jill Stein,CA,8637
Contra Costa County,6013,Gloria La Riva,CA,1566
NA,RI,Hillary Clinton,RI,252525
NA,RI,Donald Trump,RI,180543
NA,RI,Gary Johnson,RI,14746
NA,RI,Jill Stein,RI,6220
NA,RI,Rocky De La Fuente,RI,671
NA,DE,Hillary Clinton,DE,235603
NA,DE,Donald Trump,DE,185127
NA,DE,Gary Johnson,DE,14757
NA,DE,Jill Stein,DE,6103
Milwaukee County,55079,Hillary Clinton,WI,288822
Milwaukee County,55079,Donald Trump,WI,126069
Milwaukee County,55079,Gary Johnson,WI,13590
Milwaukee County,55079,Jill Stein,WI,4528
Milwaukee County,55079,Darrell Castle,WI,1262
Milwaukee County,55079,Monica Moorehead,WI,313
Milwaukee County,55079,Rocky De La Fuente,WI,199
Montgomery County,42091,Hillary Clinton,PA,256082
Montgomery County,42091,Donald Trump,PA,162731
Montgomery County,42091,Gary Johnson,PA,10934
Montgomery County,42091,Jill Stein,PA,3704
Montgomery County,42091,Darrell Castle,PA,1236
Duval County,12031,Donald Trump,FL,211672
Duval County,12031,Hillary Clinton,FL,205704
Duval County,12031,Gary Johnson,FL,11318
Duval County,12031,Jill Stein,FL,2912
Duval County,12031,Darrell Castle,FL,747
Duval County,12031,Rocky De La Fuente,FL,331
Fulton County,13121,Hillary Clinton,GA,297051
Fulton County,13121,Donald Trump,GA,117783
Fulton County,13121,Gary Johnson,GA,15765
NA,HI,Hillary Clinton,HI,266891
NA,HI,Donald Trump,HI,128847
NA,HI,Gary Johnson,HI,15954
NA,HI,Jill Stein,HI,12737
NA,HI,Darrell Castle,HI,4508
Erie County,36029,Hillary Clinton,NY,215456
Erie County,36029,Donald Trump,NY,188303
Erie County,36029,Gary Johnson,NY,12720
Erie County,36029,Jill Stein,NY,6367
DuPage County,17043,Hillary Clinton,IL,228622
DuPage County,17043,Donald Trump,IL,166415
DuPage County,17043,Gary Johnson,IL,20357
DuPage County,17043,Jill Stein,IL,6367
Fairfield County,9001,Hillary Clinton,CT,243852
Fairfield County,9001,Donald Trump,CT,160077
Fairfield County,9001,Gary Johnson,CT,11691
Fairfield County,9001,Jill Stein,CT,4866
Bergen County,34003,Hillary Clinton,NJ,231211
Bergen County,34003,Donald Trump,NJ,175529
Bergen County,34003,Gary Johnson,NJ,7764
Bergen County,34003,Jill Stein,NJ,3988
Bergen County,34003,Darrell Castle,NJ,381
Bergen County,34003,Rocky De La Fuente,NJ,148
Bergen County,34003,Alyson Kennedy,NJ,130
Bergen County,34003,Monica Moorehead,NJ,92
Bergen County,34003,Gloria La Riva,NJ,53
Macomb County,26099,Donald Trump,MI,224665
Macomb County,26099,Hillary Clinton,MI,176317
Macomb County,26099,Gary Johnson,MI,12862
Macomb County,26099,Jill Stein,MI,3886
Macomb County,26099,Darrell Castle,MI,1046
Macomb County,26099,Emidio Soltysik,MI,155
Salt Lake County,49035,Hillary Clinton,UT,175863
Salt Lake County,49035,Donald Trump,UT,138043
Salt Lake County,49035,Evan McMullin,UT,79880
Salt Lake County,49035,Gary Johnson,UT,16306
Salt Lake County,49035,Jill Stein,UT,4965
Salt Lake County,49035,Darrell Castle,UT,2047
Salt Lake County,49035,Rocky Giordani,UT,900
Salt Lake County,49035,Rocky De La Fuente,UT,353
Salt Lake County,49035,Alyson Kennedy,UT,250
Salt Lake County,49035,Monica Moorehead,UT,246
Westchester County,36119,Hillary Clinton,NY,272926
Westchester County,36119,Donald Trump,NY,131238
Westchester County,36119,Gary Johnson,NY,8042
Westchester County,36119,Jill Stein,NY,4358
Pima County,4019,Hillary Clinton,AZ,224661
Pima County,4019,Donald Trump,AZ,167428
Pima County,4019,Gary Johnson,AZ,15620
Pima County,4019,Jill Stein,AZ,6200
Hamilton County,39061,Hillary Clinton,OH,215719
Hamilton County,39061,Donald Trump,OH,173665
Hamilton County,39061,Gary Johnson,OH,13200
Hamilton County,39061,Jill Stein,OH,3723
Hamilton County,39061,Richard Duncan,OH,1211
Hartford County,9003,Hillary Clinton,CT,240403
Hartford County,9003,Donald Trump,CT,148173
Hartford County,9003,Gary Johnson,CT,11997
Hartford County,9003,Jill Stein,CT,5680
San Francisco County,6075,Hillary Clinton,CA,345084
San Francisco County,6075,Donald Trump,CA,37688
San Francisco County,6075,Jill Stein,CA,9904
San Francisco County,6075,Gary Johnson,CA,8883
San Francisco County,6075,Gloria La Riva,CA,1799
Bronx County,36005,Hillary Clinton,NY,353646
Bronx County,36005,Donald Trump,NY,37797
Bronx County,36005,Jill Stein,NY,4341
Bronx County,36005,Gary Johnson,NY,2312
Multnomah County,41051,Hillary Clinton,OR,292561
Multnomah County,41051,Donald Trump,OR,67954
Multnomah County,41051,Jill Stein,OR,12969
Multnomah County,41051,Gary Johnson,OR,12862
Prince George's County,24033,Hillary Clinton,MD,344049
Prince George's County,24033,Donald Trump,MD,32811
Prince George's County,24033,Jill Stein,MD,4723
Prince George's County,24033,Gary Johnson,MD,4557
Baltimore County,24005,Hillary Clinton,MD,218412
Baltimore County,24005,Donald Trump,MD,149477
Baltimore County,24005,Gary Johnson,MD,11748
Baltimore County,24005,Jill Stein,MD,5338
Worcester County,25027,Hillary Clinton,MA,198778
Worcester County,25027,Donald Trump,MA,157682
Worcester County,25027,Gary Johnson,MA,21198
Worcester County,25027,Jill Stein,MA,5658
Essex County,25009,Hillary Clinton,MA,222310
Essex County,25009,Donald Trump,MA,136316
Essex County,25009,Gary Johnson,MA,16215
Essex County,25009,Jill Stein,MA,4679
New Haven County,9009,Hillary Clinton,CT,205609
New Haven County,9009,Donald Trump,CT,159048
New Haven County,9009,Gary Johnson,CT,9119
New Haven County,9009,Jill Stein,CT,4757
NA,SD,Donald Trump,SD,227721
NA,SD,Hillary Clinton,SD,117458
NA,SD,Gary Johnson,SD,20850
NA,SD,Darrell Castle,SD,4064
Marion County,18097,Hillary Clinton,IN,212899
Marion County,18097,Donald Trump,IN,130360
Marion County,18097,Gary Johnson,IN,18190
Norfolk County,25021,Hillary Clinton,MA,221819
Norfolk County,25021,Donald Trump,MA,119723
Norfolk County,25021,Gary Johnson,MA,15606
Norfolk County,25021,Jill Stein,MA,4051
Collin County,48085,Donald Trump,TX,201014
Collin County,48085,Hillary Clinton,TX,140624
Collin County,48085,Gary Johnson,TX,13855
Collin County,48085,Jill Stein,TX,2539
Jefferson County,21111,Hillary Clinton,KY,190836
Jefferson County,21111,Donald Trump,KY,143768
Jefferson County,21111,Gary Johnson,KY,10188
Jefferson County,21111,Evan McMullin,KY,4785
Jefferson County,21111,Jill Stein,KY,3224
Jefferson County,21111,Rocky De La Fuente,KY,156
Pierce County,53053,Hillary Clinton,WA,172538
